"hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","type","likesCount","timestamp","caption","locationId","locationName"
,,,,,,,,,,,,,,,,,,,,"Video","55016","2024-10-15T12:30:19.000Z","The most powerful button on your laptop⚡️💻

Share this with your friends who might not know about these awesome Windows power tips. 

The Windows key is the most powerful key on your keyboard, yet many people don’t realize its full potential. 

With just a tap, you can do things like insert emojis, open settings, take screenshots, start screen recording, lock your PC, and even voice type - all using the Windows key!

Check out the full reel to learn how to master these shortcuts.

Which one did you already know? Let me know in the comments! 

And follow me, Rajiv Makhni - All Tech, No BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Windows Shortcuts, Laptop Shortcuts, Windows Key, Windows Tips, Windows Tricks]",,
,,,,,,,,,,,,,,,,,,,,"Video","9056","2024-10-13T04:30:09.000Z","Use WiFi On Any Flight 🤯🤩

Get Internet on any flight. Including domestic. 

Share this with your friends who fly a lot!

You can now use the internet on domestic flights with new in-flight WiFi services from Aeromobile which you can buy through Airtel and Jio in India. Currently it’s on some flights but will soon by on all. 

I tested it to see how well it works and what still needs improvement.

Watch the full reel to learn if the speeds are any good, how to get the plan and use it on your next flight!

Are you ready for WiFi at 30,000 feet? Tell me in the comments and follow me, Rajiv Makhni - All Tech, No BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Wifi on flight, Travel, Airlines, Internet]",,
,,,,,,,,,,,,,,,,,,,,"Video","6683","2024-10-06T04:30:33.000Z","Can Your Powerbank Do This? 😍😳

Fast, compact, convenient charging with Stuffcool. 

Share this with that friend who is always low on battery! 

Stuffcool is celebrating 10 years, and they seem to have decided to take the Powerbank innovation game to a new level. I have 3 of their latest powerbanks with me. The Click 10, Mega II, and Lucid Plus. 

All three have some incredible features, including MagSafe animations and fast wireless charging. 

Though the most striking feature has to be their design, which is very futuristic and looks cool. 

Multiple sizes, multiple capacities, but a solid promise of fast and reliable charging…

But are they as good as they seem? Watch the full reel to find out. 

Which one is your favourite? Tell me in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Stuffcool, Powerbanks, MagSafe]",,
"RajivMakhni","CellGuru","GadgetGuru","Spark30C5G","TECNOxTransformers","TECNOMobile","Tecno","Transformers","Smartphone",,,,,,,,,,,,"Video","15418","2024-10-08T06:16:00.000Z","World First Review: Tecno Spark 30C 5G 🌍🤩

Most Premium Smartphone Under Rs 10K!

Share this with your friends who are planning to buy a new budget smartphone.

Can a smartphone offer premium looks, 5G connectivity, a 120Hz display, Sony cameras, and solid performance, all while being priced under Rs 10K?
Sounds impossible, right? Not anymore!

This is the new Tecno Spark 30C 5G Transformers Edition.

This smartphone features a premium marble-finish design and also comes with a cool Transformers skin inside the box.

In addition, the device boasts a large 6.67-inch 120Hz display, a 48MP Sony IMX 582 rear camera, MediaTek Dimensity 6300 processor, wide 5G connectivity, and a ton of amazing features - all starting at an NEP of Rs 8,999.

How is this possible? Is there any compromise?
Watch the reel, and I’ll tell you everything about this smartphone.

This is the most Crazily Reliable smartphone under 10K. What do you think? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #CellGuru #GadgetGuru #Spark30C5G #TECNOxTransformers #TECNOMobile #Tecno #Transformers #Smartphone",,
"RajivMakhni","GadgetGuru","CellGuru","BurnTheRules","AGNI3","LavaMobiles","ProudlyIndian",,,,,,,,,,,,,,"Video","162617","2024-10-04T08:30:06.000Z","World First Review: Lava Agni 3 🔥🌍

Lava Agni 3 is the new under 20k segment champion!

Lava has just launched their new Agni 3 smartphone and it has some incredibly unique features that you’ve never seen before in its segment.

It has a Mediatek Dimensity 7300X processor with 16GB RAM, a powerful 50MP Sony Primary Camera Lens, 5000 mAh battery, an outdoor toolbox and even an Action Button.

However, the most impressive fact is that this phone has 2 screens. One on the front and one on the back.

What does it do? How useful is it? What makes this phone better than the iPhone 16? Watch the full reel to find out.

Is the Agni 3 now the best Made in India smartphone under ₹20,000?

Let’s discuss in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #GadgetGuru #CellGuru #BurnTheRules #AGNI3 #LavaMobiles #ProudlyIndian",,
,,,,,,,,,,,,,,,,,,,,"Video","7115","2024-10-02T04:30:13.000Z","The World’s Biggest Smart Ring Shootout 😱🤩

Smartwatches might be on their way out!

Smart rings are here, and they’re packing serious tech in a tiny, stylish package. From tracking sleep and workouts to stress and even calorie balance, these rings might just replace your smartwatch!

I’ve tested 5 smart rings – including the Oura, Ultrahuman, and Gabit – in the biggest smart ring shootout yet. Which one came out on top? 

Share this with your friends and find out which ring could be your next wearable upgrade! 

Spoiler: one stands out in price, features, and performance! 

Watch the full reel to see the detailed comparison and find the ultimate winner!

Are you team smartwatch or smart ring? Drop your thoughts in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Smart Ring, SmartRingRevolution, Smartwatches]",,
,,,,,,,,,,,,,,,,,,,,"Video","4157","2024-10-12T04:30:52.000Z","₹16,000 Backpack Has Eyes & 2 Screens 😍🤯

This backpack is looking at you! 

Share this with all your friends who like cool, over the top, funky gadgets. 

This is the ProFocus BlinkEye Backpack. It features 2 super bright LED displays shaped like eyes, which can be controlled via a dedicated app.

You can choose from over 200 different eye designs and even add custom images, GIFs, and personalized text.

Additionally, the bag includes a rugged hardshell case shaped like a face mask, along with a well-padded back and straps.

It also offers a padded camera gear section with mesh protection and multiple pockets, including a laptop compartment.

All of these things at a price of Rs 16,000! Yes, it’s expensive. 

Watch through the reel and I will tell you everything about this backpack.

Can your backpack do all of this? And how much do you think this should have been priced? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Profocus, LEDBag]",,
,,,,,,,,,,,,,,,,,,,,"Video","3890","2024-10-09T12:31:03.000Z","Apple Bluetooth Speaker For ₹16,000! 😍🔊

Share this with anyone looking to buy new headphones, TWS or speakers. 

Beats has just launched their latest series of audio products, the new Beats Pill, the Beats Solo Buds and the Beats Solo 4. 

Beats is owned by Apple and Apple is known for good sound quality in their audio products and a lot of unique features. 

But is it up to Apple quality? Are these worth the price? 

What unique features do these 3 have? How do they sound? Are these the best sounding Apple audio products now? 

Watch the full video to find out. 

What’s your opinion of Beats/ Apple audio products?
Tell me in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Beats, Apple, TWS, Speakers, Headphones]",,
"RajivMakhni","CellGuru","GadgetGuru","OPPO","CraftedFromCulture","ManishMalhotra","OPPOReno12Series",,,,,,,,,,,,,,"Video","2568","2024-09-30T05:20:44.000Z","This Phone Is Made By Manish Malhotra 😨👗

This smartphone is designed by a fashion designer.

Share this with your friends who are looking for a super stylish smartphone.

OPPO has released the brand-new Reno12 Pro 5G in a limited edition, created in collaboration with celebrity fashion designer Manish Malhotra.

The smartphone boasts an advanced 8-layer UV-processed textured back with an elegant gold-finish design, offering a soft and ultra-premium feel. This smartphone ensures you always stand out from the crowd.

It also comes equipped with a 50+8+50 MP camera setup that captures stunning portraits, a beautiful 6.7-inch quad-curved AMOLED display, an impressive 12GB of RAM, 256GB of storage, and a host of other features.

All of this is available at an incredible price of Rs 36,999! Pre-booking has already started, and the first sale goes live on October 3rd.

Watch the reel, and I’ll tell you everything about this smartphone.

Have you ever seen a phone that looks this stylish with these features? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #CellGuru #GadgetGuru #OPPO #CraftedFromCulture #ManishMalhotra #OPPOReno12Series",,
"RajivMakhni","GadgetGuru","CellGuru","vivoV40e","PortraitSoPro","DesignPro","vivoIndia","collab",,,,,,,,,,,,,"Video","10428","2024-10-01T04:52:23.000Z","⁠This phone looks better than a ₹1.5L rupee phone! 😍🤯

You have never seen a phone this good looking. 

The vivo V40e is here and it comes in with an incredible design and Royal Bronze color. The phone is 7.49mm thin, feels great in hand and clicks some incredible photos! 

Watch what happens when I click a photo with it in the mall infront of other people! 

And to know all the other great features of the vivo V40e, watch the full reel. 

Is this the best looking phone in the country? Tell me in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #GadgetGuru #CellGuru #vivoV40e #PortraitSoPro #DesignPro #vivoIndia #collab",,
"RajivMakhni","CellGuru","GadgetGuru","MakeItSpecial","OnePlus","OnePlusBuds",,,,,,,,,,,,,,,"Video","3715","2024-10-05T04:30:45.000Z","OnePlus Buds Pro 3 At Lowest Price Ever 😨🤩

The OnePlus Buds Pro 3 are award winning TWS buds that, despite being under ₹15,000, can beat even the most high-end TWS buds in terms of features and sound quality. 

This festive season, the Buds Pro 3 are available at a price never seen before. 

Watch as I tell you 5 reasons why you should not miss out on this deal. 

OnePlus Buds Pro 3 are available on OnePlus’ official website, Amazon, Flipkart and offline stores. 

Are there any other TWS buds in the country under ₹10k better than these? Discuss in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #CellGuru #GadgetGuru #MakeItSpecial #OnePlus #OnePlusBuds",,
"RajivMakhni","CellGuru","GadgetGuru","Airtel","SpamCalls","AirtelFightsSPAM",,,,,,,,,,,,,,,"Video","25323","2024-09-28T04:31:05.000Z","You will never get a spam call again! GUARANTEED! ✅📲

Share this with your friends and family who are fed up with spam calls!

Airtel has introduced a game-changing innovation that uses AI to analyze spammers’ behavior patterns and block them in real time.

Their AI system processes billions of calls and SMSes in real time every minute, allowing it to identify and block calls before they ring. 

Whether it’s sim cards being switched, IMEI numbers changing, too many dropped calls, or any other suspicious behavior - Airtel’s AI catches it all.

This happens in real-time, across billions of calls and SMSes, so when your phone rings, they’ll already know if it’s a spammer.

Is this one of the biggest innovations India has seen in a while? Tell me in the comments!

@airtelindia 

And don’t forget to follow me, Rajiv Makhni - All Tech, No BS!

#RajivMakhni #CellGuru #GadgetGuru #Airtel #SpamCalls #AirtelFightsSPAM",,
"SamsungDoubleDoorRefrigerator","BespokeAI","dolesslivemore","Samsung","SamsungBespokeAI",,,,,,,,,,,,,,,,"Video","4366","2024-09-26T12:31:29.000Z","This Refrigerator Solves 5 Big Problems 😨
 
Samsung’s Bespoke AI Double Door Refrigerator.
 
Share this with your friends and family who are planning to buy a new smart refrigerator.
 
This is the Samsung Bespoke AI Double Door Refrigerator and it solves five of the biggest problems we all face with our refrigerators.
 
It features an AI energy mode that automatically analyzes usage patterns to optimize and reduce power consumption by up to 10%. 

If something goes wrong, thanks to the SmartThings home care feature, the fridge intelligently detects the issue & informs you of the problem.
 
This refrigerator offers a large 419L capacity and allows control through the SmartThings app. 
Additionally, it comes with an impressive 20-year compressor warranty, along with a ton of innovative features you won’t find in any other refrigerator.
 
Watch the video and I will tell you everything about this refrigerator.
 
Is your refrigerator as smart as this one? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

@samsungindia #SamsungDoubleDoorRefrigerator #BespokeAI #dolesslivemore #Samsung #SamsungBespokeAI",,
"RajivMakhni","GadgetGuru","CellGuru","TVSiQube","TVS","IndiasFavouriteFamilyEV",,,,,,,,,,,,,,,"Video","23154","2024-10-11T12:53:07.000Z","TVS iQube - Perfect EV This Festive Season😍⚡️

Do not miss this EV deal this festive season! 

This EV 2 wheeler needs to be on your Diwali wish list! 

This is the TVS iQube Electric Scooter, and it has some incredible features like 150 kms of real range, reverse parking assist, crash detection and 118 smart features making it the perfect vehicle for you or literally anyone else in your family! 

And unlike some other brands, this one gives you all the smart features without any extra added costs! 

But the best part is that for a limited period during this festive season, you can get up to ₹30,000 cashback on this incredible EV, making its starting price just ₹89,999!

Watch the full reel to know all about the TVS iQube.

Are you ready for this futuristic EV? Tell me in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #GadgetGuru #CellGuru #TVSiQube #TVS #IndiasFavouriteFamilyEV",,
,,,,,,,,,,,,,,,,,,,,"Video","9379","2024-09-21T12:30:12.000Z","This Power Bank Has 5 Insane Features

You will never need to carry any charger, any cable, any adapter with this one power bank.

This one gadget is a wall charger, a power bank, a universal adapter, a cable manager, and 
can fast charge both Androids and iPhones.

Share this with your friends to let them know about this insane 5in1 power bank.

This is the Ubon PB-X113 5-in-1 10,000mAh power bank.

It features a compact, rugged build, a built-in charging plug, and also comes with a detachable Indian adapter.
You can plug it directly into a wall socket and use it as a fast charger, thanks to its direct charging support.

Additionally, this power bank includes built-in Type-C and Lightning cables that fit neatly inside and function like a lanyard.

It can fast charge two devices simultaneously, comes with multiple safety features, and offers even more. All of this for just Rs. 2,599!

Watch the reel and I will tell you the 5 insane features of this power bank.

Is there any other product that can do all of these at this price? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Ubon, 5in1PowerBank]",,
,,,,,,,,,,,,,,,,,,,,"Video","2207","2024-09-20T04:30:28.000Z","iPhone 16 best deals on launch day 💸🥳

Share this with your friends who have been waiting to buy the iPhone 16!

All 17 @nexus_select_trust malls across India have the entire iPhone 16 collection, the best deals, and guaranteed gifts - all starting today!

The iPhone 16 is officially out now, so you know exactly where to head!

Where are you getting your iPhone 16 from? Let me know in the comments!

And follow me, Rajiv Makhni - All Tech, No BS!

[Rajiv Makhni, Gadget Guru, Cell Guru, Apple iPhone 16, Prizes, Discounts, Nexus Malls]",,
"RajivMakhni","GadgetGuru","CellGuru","MotorolaEdge50Pro","BestPhoneUnder30K",,,,,,,,,,,,,,,,"Video","10578","2024-09-23T13:35:52.000Z","motorola edge50 pro at lowest price ever! 

True flagship smartphone at only Rs 27,999!

Share this with your friends who are looking to buy the absolute best deal on the best smartphone.

Flipkart’s Big Billion Days sale is here, and you can grab motorola’s flagship smartphone, the edge50 pro, down from its original price of Rs 36,000, to just Rs 27,999, 

A whopping Rs 8,000 discount. Making it one of the best deals to grab in the sale.

The smartphone features the world’s first Pantone-validated camera setup and a 1.5K 144Hz Pantone-validated true color display. 
It has a premium metal build with a vegan leather back panel in Pantone colors and a flagship IP68 rating.

It also offers 125W turbo fast charging, 50W wireless fast charging, powerful performance, AI features, 12GB RAM, and 256GB storageall for an incredible price of -  Rs 27,999 during the Flipkart Big Billion Days sale!

Is there a better phone at a better deal on any sale? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #GadgetGuru #CellGuru #MotorolaEdge50Pro #BestPhoneUnder30K",,
"RajivMakhni","GadgetGuru","BigBillionDays","galaxy","samsung","TabletDeals","Flipkart","EpicPrices","stealdeal","DealOfTheYear","BigSavings","UnbeatableDeals","s9","s9plus","s9fe","s9feplus","tablet","bbd","crazy","FlashSale","Video","25909","2024-09-22T13:30:30.000Z","Biggest Ever Discounts on Samsung Tablets!

Samsung Tablets at Unbelievable Prices! 😱

Flipkart’s Big Billion Days sale is about to drop some insane discounts on Samsung tablets.

How low? You won’t believe it! We’re talking about flagship specs at shockingly low prices!

Want to know just how much you’ll save? 😏

Watch the reel to find out which Samsung tabs are getting the biggest price cuts and why this is the best time to upgrade your tech!

@flipkarttechspert 

Which tablet are you getting?

Let me know in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #GadgetGuru #BigBillionDays #galaxy #samsung #TabletDeals #Flipkart #EpicPrices #stealdeal#DealOfTheYear#BigSavings #UnbeatableDeals #s9 #s9plus #s9fe #s9feplus #tablet #bbd #crazy #FlashSale",,
,,,,,,,,,,,,,,,,,,,,"Video","15472","2024-09-25T04:30:37.000Z","Thundering sound without a SoundBar? 🤯

This TV can bring theater-like surround sound audio without any soundbar or home theatre.

Share this with your friends who is looking for theatre-like sound and quality under a budget.

This is Realme Techlife Cinesonics 65-inch QLED TV.

This TV features a powerful 44W Total Sonics sound system with Dolby Atmos, delivering theater-like surround sound.

It has a stunning 65-inch 4K QLED 10-bit display with HDR10 and Dolby Vision support. 

Powered by a fast Quad-core MediaTek MT9602 processor, 2GB RAM, and 16GB storage, it runs on Google TV OS and offers plenty of connectivity options, available for just Rs 41,999 on @flipkart 

Watch the video, and I’ll tell you everything about this TV.

With all these features at this price, and no extra investment in a soundbar. Is this the most value-for-money TV to buy? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Realme, Mediatek, RealmeTechLife, TV]",,
"RajivMakhni","GadgetGuru","CellGuru","BigBillionDaysSale","Flipkart",,,,,,,,,,,,,,,,"Video","22174","2024-09-24T12:30:07.000Z","Samsung S Series Phones at Rs 50,000 discount! 😱

How to get Samung S Series and iPhone 15 at prices you’ve never dreamt of! 

The Flipkart Big Billion Days Sale is coming soon and it’s bringing along some incredible discounts on the best and most premium smartphones out there. 

Expect massive discounts on phones like the Samsung Galaxy S23, Google Pixel 8 and even S24+! 

However, one of the biggest discounts shall be made available for the iPhone 15 and Samsung S Series phones. 

At prices so low, you haven’t even dreamt of it! 

What exactly is the price? When will it be revealed?
What else can you expect from the Big Billion Days Sale? 

Watch the full reel to find out and join me live on the Flipkart App on 25th September, 9PM to 11pm for the Zero Hour live where I reveal all the incredible deals and prices on Samsung, Motorola, Google, Pixel & iPhone top models! I will guide you to the start of the BBD sale. 

Flipkarts The Big Billion Days Sale starts at 27th September, with early access for plus members beginning on 26th September night 12am. 

@flipkarttechspert 

Which smartphone are you most excited for? Tell me in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

#RajivMakhni #GadgetGuru #CellGuru #BigBillionDaysSale #Flipkart",,
,,,,,,,,,,,,,,,,,,,,"Video","13852","2024-09-22T04:30:41.000Z","This TV Works Without A Remote

55-inch QLED TV under Rs 35,000

Share this with friends and family who are always losing their TV remote!

This is the Daiwa 55-inch 4K Google TV. This TV brings in some incredible features at a price never seen before, making it one of the best 55-inch TVs on the market.

The TV boasts a 55-inch 4K 60Hz bezel-less QLED display with HDR10 support. It also delivers amazing sound with Dolby-powered speakers, runs on Google TV OS, and offers a variety of features, including Google Voice Assistant, Chromecast, and Google Photos.

It comes with multiple connectivity ports and a ton of other features.
And the best part? You don’t even need a remote to control and operate this TV!

All of this is available at an incredible price of just Rs. 33,999!

Available to purchase on Flipkart.

Watch through the reel and I will tell you the 5 unique features of this TV.

Is this the best 55-inch 4K TV? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Daiwa, GoogleTV]",,
,,,,,,,,,,,,,,,,,,,,"Video","24455","2024-09-25T12:30:53.000Z","India’s First Fall Detection Watch for Seniors! 👵🏻⌚️

Share this with friends and family so they can get this watch for their parent’s and grandparents’ safety.

This smartwatch can save lives. Millions of lives. 

This is the Protec Fall Detection Smartwatch by Antara AGEasy. It can automatically detect if the person, wearing it, falls and immediately dial an emergency contact to get help.

I tested it live to see if it really works.

Every year in India, about 2 million seniors fall and get injured, and around 1 million succumb to their injuries. This can truly be a lifesaver.

In addition, the watch comes with many safety features including real-time location tracking, geofencing, a voice chat feature, an SOS button, medication and pill reminders, 24x7 health monitoring, and a lot of amazing features for senior citizens.

Watch through the video, and I will tell you everything about this smartwatch.

Are you getting this watch for your parents, grandparents  and senior citizen’s safety? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, ProtecSmartwatch, SeniorCitizenSmartwatch]",,
