"hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","type","timestamp","productType","likesCount","firstComment","caption"
"booksmakemewhole","bullahshah","poetrybook","newbookalert","translatedbooks",,,,,,,,"Sidecar","2024-09-27T16:35:54.000Z",,"-1","I didn't liked this book at all. 🙂","THE BOOK OF BULLAH

“I dance madly in the throes of love
In love’s madness I dance away”

Bulleh Shah was a Sufi Saint who lived from 1680 to 1758. To this day, the glimpses of the verses written by him can be seen in many songs and poems.

Translated from Punjabi, his words hold the same power even in English. While reading this book, I couldn’t stop thinking why I hadn’t read his poetry before. From love to caste to God, his verses are hard-hitting and brilliant!

A must have and a must-read book for poetry lovers!

Thanks to @authormanjul for sending this beautiful book my way.

Do you like reading poetry?

(Poetry Book Bulleh Shah Poems Punjabi)

#booksmakemewhole #bullahshah #poetrybook #newbookalert #translatedbooks"
"booksmakemewhole","neelrecommends","sadbooks","bookinstagram","letsreadmore",,,,,,,,"Sidecar","2024-09-21T04:25:00.000Z",,"5011","📣 Attention, story lovers! I’m thrilled to introduce my Instagram page, The Storyteller’s Den! My first video, Part 1 of 'The Stranger at Midnight,' is now live. Come join the adventure and let’s explore the mysteries together!","Have you read any of these books?

#booksmakemewhole #neelrecommends #sadbooks #bookinstagram #letsreadmore"
"booksmakemewhole","tbrstack","booksiwanttoread","bookphotography","bookishlife",,,,,,,,"Image","2024-09-23T09:54:34.000Z",,"234","Their sizes look so tempting 🔥","TBR STACK

These are the books on my immediate TBR! I am currently reading ‘The Shadow of the Wind’ for the bookclub. Haven’t finished a single book this month as it’s been a bit crazy busy so far. Hoping to read at least a couple of books this week.

Have you read or want to read any of these books?

#booksmakemewhole #tbrstack #booksiwanttoread #bookphotography #bookishlife"
"booksmakemewhole","neelrecommends","cosybooks","fallreading","comfortbooks",,,,,,,,"Sidecar","2024-09-29T10:28:29.000Z",,"182","Sweet bean paste and paris for one❤️","Which of these will you read first?

(Cosy Reads, Fall Reading, Books Comfort)

#booksmakemewhole #neelrecommends #cosybooks #fallreading #comfortbooks"
"booksmakemewhole","neelrecommends","readingslump","readthesebooks","bookishaddiction",,,,,,,,"Sidecar","2024-09-13T04:00:00.000Z",,"405","""Verity"" first 🔥","Which one will you read first?

(Book Recommendations, Reading Slump, Addictive Books, Captivating Books, Book Obsession)

#booksmakemewhole #neelrecommends #readingslump #readthesebooks #bookishaddiction"
"booksmakemewhole","newbookalert","booktour","dustinthao","sadbooks",,,,,,,,"Image","2024-09-12T12:20:00.000Z",,"188","Is it bl??","WHEN HARU WAS HERE : BOOKTOUR STOP

What does it mean to let go . . . ?

After the death of his best friend, Eric Ly creates imaginary scenarios in his head to deal with his grief. Until one of them becomes real, and a boy he met last summer – Haru Tanaka – walks into the coffee shop and sits down next to him. The only thing is, nobody else can see him.

Eric suddenly has someone to connect with, making him feel less alone in the world. But as they spend more time together, he begins to question what is real. Soon Eric is losing control of the very thing that is holding him together, and must confront his reality. Even if it means losing Haru forever.

Sounds interesting, doesn’t it? Can’t wait to start reading this one!

The last book you read that made you cry?

#booksmakemewhole #newbookalert #booktour #dustinthao #sadbooks"
"booksmakemewhole","neelrecommends","comfortshows","comfortmovie","watchthis",,,,,,,,"Sidecar","2024-09-08T04:00:00.000Z",,"342","Where The Crawdads Sing is one of my favourites ❤️","Which one will you watch first?

#booksmakemewhole #neelrecommends #comfortshows #comfortmovie #watchthis"
"booksmakemewhole","fantasybooks","newbookalert","bookmagic","booksbooksbooks",,,,,,,,"Image","2024-09-07T04:15:00.000Z",,"-1","Such a beautiful cover😍","THE WHISPERWICKS

""Every problem could be solved if people tried hard enough.""

....is the firm belief of eleven year-old Benjamiah Creek. His parents are going through a rough patch in their marriage and  have taken a few days off to go away to sort their differences. He is left to care for their bookshop alongwith his grandmother. Benjamiah does not believe in magic, he only understands science, logic and the power of reason.

Imagine his surprise when a doll, more like a poppet, arrives in the mail addressed to him! He doesn't know why his parents would send him the last thing he wants. But this doll is much more than it appears. To Benjamiah's horror, it sometimes turns into a bird and sometimes into a monkey!

This doll leads him into another world, similar but much different than his own called Wreathenwold. It holds dark secrets in it's labyrinthine streets. Here he meets the headstrong Elizabella, who cannot rest till she finds her brother, Edwid. 

Will Benjamiah return home safe and sound? Will they find Edwid? Read to know!

Which genre are you more inclined towards these days?

#booksmakemewhole #fantasybooks #newbookalert #bookmagic #booksbooksbooks"
"booksmakemewhole","neelrecommends","emilyinparis","booksandbooks","readingjourney",,,,,,,,"Sidecar","2024-09-02T04:00:00.000Z",,"245","Love these recommendations.","These books are not exactly along the same lines as the series, but they have some elements in common.

Which of these will you read first?

#booksmakemewhole #neelrecommends #emilyinparis #booksandbooks #readingjourney"
"booksmakemewhole","japanesefiction","womenintranslation","translatedfiction","booktour","newbookalert","readingbook","reviewingbooks","readit","bookishjoy",,,"Sidecar","2024-09-03T04:15:00.000Z",,"386","This one is on my TBR!","THE LANTERN OF LOST MEMORIES : BOOK TOUR STOP & REVIEW

Have you ever thought where a person goes after they die? Do they completely vanish from the face of the earth, go straight to heaven or their soul lingers on for sometime? There are too many possible answers to these questions and none of these can be confirmed with certainty.

This book features Mr Hirasaka's photography studio in the mountains. It's an in-between place after a person dies and before they go to heaven. When a person comes here, they get to see a photograph for each day they have lived. Then they have to select a single photograph for each year that will go in the lantern of lost memories! When this lantern spins, it's like taking a walk down the memory lane!

This book has three stories, one of ninety-two year old Hatsue who was a nursery teacher and found her purpose in her work. Another is a yakuza (criminal) called Waniguchi, who can't stop talking about the weird shop help he'd hired for pretenses, called Mouse. The last one is a little girl called Mitsuru, who is still not quite dead, yet! Mr Hirasaka lives everyone's stories with them but has no clue about where he himself came from!

I adored the simplicity and honesty of this book. It is a one-of-a-kind read that leaves a strong impact on you. Highly recommended!

Thank you @panmacmillan for letting me be a part of this tour!

What are you reading today?

#booksmakemewhole #japanesefiction #womenintranslation #translatedfiction #booktour #newbookalert #readingbook #reviewingbooks #readit #bookishjoy"
"booksmakemewhole","augustreadingwrapup","readingmonth","monthlywrapup","monthlyphotodump","readingbooks","bookstar","bookishinstagram","bookstagrammer","indianbookstagrammer",,,"Sidecar","2024-08-31T04:00:00.000Z",,"341","Serene❤️","AUGUST WRAP-UP

“maybe that’s all love is. So much is how we perceive someone and the memories we have of them, rather than the facts of who they are. Maybe instead of saying I love you we should say I imagine you.”
-Dolly Alderton, Ghosts

Here is the list of Books I read in August with their respective ratings:
1. Eleanor and Park (Reread) 🌟🌟🌟🌟🌟
2. Ghosts 🌟🌟🌟🌟.5
3. Good Material 🌟🌟🌟🌟
4. Till Fate do us Part 🌟🌟🌟.5
5. The Lantern of Lost Memories 🌟🌟🌟🌟.5

August was an exhausting month - physically, mentally and emotionally. I got admitted into a hospital for the first time and it was a scary experience for me. A lot of difficult decision making had to be seen through. But it also helped me shift my perspective to a better one! It is leaving me with a more rejuvenated mindset and I am nothing but grateful for going through this trying month. 

Did you read anything good this month or had an experience you would like to share?

#booksmakemewhole #augustreadingwrapup #readingmonth #monthlywrapup #monthlyphotodump #readingbooks #bookstar #bookishinstagram #bookstagrammer #indianbookstagrammer"
"booksmakemewhole","newbookalert","selfhelpbooks","bookishpost","bookexcerpt",,,,,,,,"Sidecar","2024-09-19T04:00:00.000Z",,"338","❤️🙌🔥","THE ART OF LAZINESS 

‘Do you constantly feel unmotivated to work on your dreams?

If the answer is yes, then this book is for you. Laziness stops us from enjoying the little time we have. It doesn’t help you accomplish your goals. It stops you from starting anything new. It makes your life miserable.

This book will teach you:

How to overcome laziness
How to stop procrastination
How to improve your productivity’

Can’t wait to start reading this book!

What are you currently reading?

#booksmakemewhole #newbookalert #selfhelpbooks #bookishpost #bookexcerpt"
"booksmakemewhole","monthlywrapup","bookratings","whatiread","monthlydump",,,,,,,,"Sidecar","2024-08-01T11:31:09.000Z",,"411","Amazing 😍😍🔥🔥","JULY WRAP-UP

“Women had read about their liberation in books but not many of them had seen what it looked like in action.”
- Ann Patchett, The Dutch House

July was my Birthday month, my husband’s birthday month, our engagement anniversary month, in short, it’s been a very special month for me. A month of reflection, clarity and a lot of decision making, some of which are still in the process. 

I read some good books too. Here are they with the ratings:

1. The Dutch House 🌟🌟🌟🌟
2. Hamnet 🌟🌟🌟🌟
3. Three days in Florence 🌟🌟🌟🌟

How was July for you, reading-wise and otherwise?

#booksmakemewhole #monthlywrapup #bookratings #whatiread #monthlydump"
"booksmakemewhole","dollyalderton","fictionbooks","favoriteauthor","booksiread","augustreads","readwithme","readingaddict","obsessedwithbooks","readinglife",,,"Sidecar","2024-08-30T11:45:58.000Z",,"139","Sounds like an interesting subject, thanks for sharing!","GOOD MATERIAL: REVIEW

“feeling so grateful that I have this person in my life who sees me more clearly than I can see myself.”

I have read plenty of books about breakups, but never narrated from a male perspective. I never thought men had this level of emotional vulnerability. That’s the reason I was not really sure if I’d be able to like this one. But I was in for a surprise as I couldn’t stop turning page after page until I’d finally finished reading the story!

Andy is thirty-five and a stand-up comedian. His girlfriend, Jen, whom he has been dating for almost four years, just broke up with him and he can’t figure out why. He’ll go to any end to know the reason. His career is going nowhere, his friends are busy with their marriage or kids and he doesn’t even have a place to live!

Everything he does, everywhere he goes, everyone he sees, reminds him of Jen one way or the other. They were so good together and without her, Andy finds himself lost with a head full of negative thoughts. But he doesn’t know Jen’s side of the story, yet!

Dolly Alderton has a way with words that go straight to your heart. Her honesty and brilliance knows no bounds. Now I can say with a lot of conviction that I’ll happily read her grocery lists too!

Huge thanks to @penguinindia for introducing me to Dolly and her amazing talent!

How has August been for you?

#booksmakemewhole #dollyalderton #fictionbooks #favoriteauthor #booksiread #augustreads #readwithme #readingaddict #obsessedwithbooks #readinglife"
"booksmakemewhole","neelrecommends","cosybooks","rainydayreading","readinglove",,,,,,,,"Sidecar","2024-08-27T10:35:53.000Z",,"526","I have read ""what you are looking for is in the library""😊","Have you read any of these books?

#booksmakemewhole #neelrecommends #cosybooks #rainydayreading #readinglove"
"booksmakemewhole","romancebooks","newbookalert","bookreviewpost","ireviewbooks",,,,,,,,"Image","2024-08-24T15:32:05.000Z",,"213","I'm reading The Spice Gate","TILL FATE DO US PART

“You don’t manufacture feelings; feelings come to you.”

The story starts at Dr Gaurang Doshi’s clinic. He is a paediatric orthopedist. One fine day, a special needs child, Sameeksha, visits him with her parents. Dr Doshi finds himself surprisingly drawn to her mother, Vedika, without even seeing her face as it is covered by a mask. He finds her eyes very attractive and communicative. But he hesitates to take a step as she is married.

He has no idea that Vedika and her husband, Rohan are going through their divorce besides caring for Vedika. They both lead quite hectic professional lives, but Vedika will go to any end for her daughter. Gaurang is the first doctor who has been so cooperative regarding Sameeksha’s condition. She also feels herself drawn to Dr Gaurang for some reason.

What will Vedika and Gaurang do with their mutual feelings? How will it affect the people around them? Read to know!

Right from page one, this story captivated me with its strong wordplay and brilliant plot. This is my third book by Smita and every time I am more and more surprised by her incredible storytelling talent!

What are you reading currently?

#booksmakemewhole #romancebooks #newbookalert #bookreviewpost #ireviewbooks"
"booksmakemewhole","neelrecommends","bookobsessed","bookaddiction","booksyoushouldread",,,,,,,,"Sidecar","2024-08-10T06:20:27.000Z",,"503","Finally A memoirs of Geisha mention. I so rarely find this book on bookstagram. Did you like the book? What are your thoughts😍?","What has been your recent bookish obsession?

#booksmakemewhole #neelrecommends #bookobsessed #bookaddiction #booksyoushouldread"
"booksmakemewhole","fictionalcharacters","bookcouples","bookromance","bookthoughts",,,,,,,,"Sidecar","2024-08-22T03:54:42.000Z",,"1840","❤️❤️❤️","Can you suggest more such book couples?

#booksmakemewhole #fictionalcharacters #bookcouples #bookromance #bookthoughts"
"booksmakemewhole","eleanorandpark","neelrecommends","favoritebooks","yabooks","rainbowrowell","rereadingbooks","bookobsessed","readthisbook","romancebooks",,,"Sidecar","2024-08-16T11:15:00.000Z",,"550","I just completed reading this book after seeing your post. Just loved it ❤️ Many thanks for the recommendation!","ELEANOR AND PARK : A REREAD

Is it possible to love a book even more after reading it again? YES! Absolutely! 

I had such an amazing time going back to the story of Eleanor and Park, couldn’t stop myself from highlighting all the lines that made me swoon. If you’ve been following me for a while, you might have an idea of how much I adore this book. It’s so pure, brilliant and full of young love!

Swipe away to read my favourite lines ➡️

A book you are planning to reread soon?

#booksmakemewhole #eleanorandpark #neelrecommends #favoritebooks #yabooks #rainbowrowell #rereadingbooks #bookobsessed #readthisbook #romancebooks"
"booksmakemewhole","chatgpttrend","mybookstagram","bookstafun","bookjoy",,,,,,,,"Sidecar","2024-08-24T05:57:31.000Z",,"302","This is awesome 😍","Hopping on to this popular trend! Had a lot of fun with this.

Have you tried ChatGPT yet?

#booksmakemewhole #chatgpttrend #mybookstagram #bookstafun #bookjoy"
"booksmakemewhole","neelrecommends","dollyalderton","booksilove","readthisbook",,,,,,,,"Sidecar","2024-08-20T11:55:00.000Z",,"150","Lovely review","GHOSTS BY DOLLY ALDERTON: REVIEW 

“Looking for love didn’t have to be factored into my schedule in the way I’d dreaded – I could do it while watching TV.”

Long story short - I loved reading this book, it felt very comforting to read about someone’s imperfect life. I recommend everyone read it once!

Nina George Dean has just turned thirty-two. For a moment, she thinks she has a perfect life - she has a handsome boyfriend who loves her, a new apartment that she bought herself and a job she loves! 

But it doesn’t take a second’s notice for it all to crumble! Her boyfriend, Max, whom she met on a dating website called Linx, ghosts her after saying I Love You. Her downstairs neighbour is a nightmare. Her father is sick and her mother seems unbothered about it. Her ex is getting married and all her other friends are either engaged or pregnant. 

As Nina grapples with pangs of loneliness, she is hit by nostalgia more than once and reflects on how easy it was to be a child. Sometimes, adulting takes it all out of her.

I liked that the book didn’t focus on a perfect ending. The rawness, honesty and simplicity of the prose impressed me endlessly. As I am reading my second novel by Dolly, I wish I’d discovered her brilliant self sooner!

Swipe to read my favourite snippets ➡️

Thank you for sending this lovely book my way @penguinindia ❤️

(Romcom Books, Dolly Alderton, Feel Good Books, Holiday Reads, Book Recommendation)

#booksmakemewhole #neelrecommends #dollyalderton #booksilove #readthisbook"
"booksmakemewhole","neelrecommends","bookrecommendations","bookishjoy","booksandmorebooks",,,,,,,,"Sidecar","2024-07-31T10:29:20.000Z",,"4090","Wonderful book to read, amazing life lessons..","Have you read any of these books?

#booksmakemewhole #neelrecommends #bookrecommendations #bookishjoy #booksandmorebooks"
"booksmakemewhole","hamnetbook","maggieofarrell","historicalfiction","booksiread",,,,,,,,"Image","2024-08-13T11:00:00.000Z",,"-1","I just heard they are making into a series","HAMNET 

“Every life has its kernel, its hub, its epicentre, from which everything flows out, to which everything returns.”

This is the second book I read by Maggie and it’s also my second favourite. The story is based on the legendary play, Hamlet by Shakespeare.

Set in the 16th century, in a little village in England, Hamnet and Judith are twins. Their mother, Agnes is recognised as a strange woman in their neighbourhood, because she has untamed looks and prefers the wilderness to the seclusion of society life.

One day, when Judith falls violently ill, Hamnet searches the whole of their house and even their grandparent’s house for help. But all of sudden everyone seems to have gone somewhere in this desperate time of need.

Will he manage to save his sister? What will he be ready to sacrifice in place of his sister’s life? What will be the consequences?

The book is brilliantly written but the story failed to hold my attention for longer spans. I expected this to be a five star read but it turned out to be a bit of a disappointment.

Your favourite historical fiction book?

#booksmakemewhole #hamnetbook #maggieofarrell #historicalfiction #booksiread"
"booksmakemewhole","neelrecommends","booksaboutbooks","mybookishlife","booksbooksbooks",,,,,,,,"Sidecar","2024-04-27T12:30:00.000Z",,"1054","These sound lovely ❤️❤️ tysm!","Which of these you will read first?

#booksmakemewhole #neelrecommends #booksaboutbooks #mybookishlife #booksbooksbooks"
"booksmakemewhole","bookquotes","currentlyreading","thelostbookshop","booksaboutbooks",,,,,,,,"Image","2024-04-24T15:18:23.000Z",,"624","❤️","This book is such a gem!

What are you reading today?

#booksmakemewhole #bookquotes #currentlyreading #thelostbookshop #booksaboutbooks"
"booksmakemewhole","neelrecommends","shortbook","readfaster","readerlife",,,,,,,,"Sidecar","2024-07-24T11:14:22.000Z",,"843","Love to read books by Ruskin Bond along with my kid. Blue umbrella is such a soulful and beautiful book.","Which one of these will you read first?

#booksmakemewhole #neelrecommends #shortbook #readfaster #readerlife"
"booksmakemewhole","elifshafak","10minutes38secondsinthisstrangeworld","sadbooks","bookswithtriggers",,,,,,,,"Image","2024-07-17T11:30:00.000Z",,"237","🤍","10 MINUTES 38 SECONDS IN THIS STRANGE WORLD

""Just because you think it’s safe here, it doesn’t mean this is the right place for you, her heart countered. Sometimes where you feel most safe is where you least belong.""

This story begins when the protagonist dies. It is narrated from her perspective as she recalls all the significant moments of her life, when her brain is working for the last 10 minutes and 38 seconds before shutting down forever.

This is the story of Leila, a girl born in the small town of Van in Turkey. She is a prostitute who is murdered and her body is found dumped in a garbage bin in Istanbul. But her brain is still functioning. She recalls everything from her birth, to her running away from home to Istanbul, her marriage, the night she was murdered and all the people who made a mark in her life before she takes her last breath.

A one of kind story that brings into focus the life of the people working in the shadows. It talks about a cemetery in Istanbul for the companionless and the painful stories associated with it. Read this book keeping in mind the trigger warnings. It is a sad book but an eye-opening one at that. Nonetheless, brilliantly written and beautifully crafted by miss Shafak!

What are you reading today?

#booksmakemewhole #elifshafak #10minutes38secondsinthisstrangeworld #sadbooks #bookswithtriggers"
"booksmakemewhole","thedutchhouse","bookishlove","booksread","booksandme",,,,,,,,"Image","2024-07-30T11:21:37.000Z",,"-1","Verity! It had such good reviews, I really was wondering about my reading taste. It was awful","THE DUTCH HOUSE

“There are a few times in life when you leap up and the past that you’d been standing on falls away behind you, and the future you mean to land on is not yet in place, and for a moment you’re suspended knowing nothing and no one, not even yourself.”

I don’t know what I expected from this book, but I was not surprised by it. It felt like reading about someone’s day to day mundane life. There were no interesting twists as such, just the story of a family drama in which the house takes the centre stage.

Cyril Conroy lands the one-of-a-kind Dutch House by sheer luck after world war II. He lives there with his wife and two children, Maeve and Danny. His wife abandons them because she thinks no one should live in such grandeur. He remarries another woman named Andrea who has her own two daughters. After the death of their father, Andrea asks Danny to move out of the house. He lives with his sister for a while before starting college. 

The prose is brilliant but the story failed to grip my attention. It was nothing out of the ordinary I feel. The only extraordinary element in the story is the house. A one-time read!

A book that disappointed you recently?

(Book Review, The Dutch House, Family Drama, Book thoughts, Reading Books)

#booksmakemewhole #thedutchhouse #bookishlove #booksread #booksandme"
"booksmakemewhole","norwegianwood","murakamiquotes","quotebooks","booklines",,,,,,,,"Image","2024-07-21T09:51:16.000Z",,"182","","Murakami and his words 🤌

#booksmakemewhole #norwegianwood #murakamiquotes #quotebooks #booklines"
"booksmakemewhole","fredrikbackman","anxiouspeople","inspiringquotes","quotestoliveby",,,,,,,,"Image","2024-07-27T15:19:05.000Z",,"333","Reading this book right now and saw your post 😅","Backman and his words 🤌

#booksmakemewhole #fredrikbackman #anxiouspeople #inspiringquotes #quotestoliveby"
"booksmakemewhole","neelrecommends","booksaddicted","readingbooksisfun","readerlife",,,,,,,,"Sidecar","2024-07-10T12:22:54.000Z",,"25437","Read kite runner recently and it ripped my soul to pieces....have never cried on a boon like the way I cried.....my heart goes out for Hassan's and his son Sohrab's character......I was like why destiny had the same fate for his son ..... Innocent souls didn't deserve this ruthless world","Have you read any of these Books?

#booksmakemewhole #neelrecommends #booksaddicted #readingbooksisfun #readerlife"
